id,titles,artists,danceability,energy,acousticness,instrumentalness,tempo,dataset,cluster
3WMj8moIAXJhHsyLaqIIHI,Something In The Orange,Zach Bryan,0.369,0.192,0.555,8.35e-06,175.212,H,8
41bmnQZoDMQdDh5zyomtW7,Endless Fashion,Lil Uzi Vert Featuring Nicki Minaj,0.731,0.605,0.067,7.7e-06,132.946,H,1
5W4kiM2cUYBJXKRudNyxjW,You Proof,Morgan Wallen,0.732,0.839,0.265,0.0,119.724,H,1
7oDd86yk8itslrA9HRP2ki,Die For You,The Weeknd & Ariana Grande,0.531,0.525,0.232,0.0,66.9,H,0
0PAcdVzhPO4gq1Iym9ESnK,Thinkin' Bout Me,Morgan Wallen,0.656,0.757,0.492,0.0,139.971,H,1
7FbrGaHYVDmfr7KoLIZnQ7,Cupid,Fifty Fifty,0.783,0.592,0.435,4.15e-06,120.018,H,0
3fDTzkvrOo5xQIO480Qmsb,Suicide Doors,Lil Uzi Vert,0.538,0.783,0.0113,0.0,75.388,H,7
2UW7JaomAMuX9pZrjVpHAU,La Bebe,Yng Lvcas x Peso Pluma,0.812,0.479,0.213,1.21e-06,169.922,H,1
5kB6WithhB8Iv08EMNmAbt,Memory Lane,Old Dominion,0.645,0.8,0.0189,1.12e-05,118.977,H,1
2lNTHWu2I5Tcz9ukWsV5Jj,Next Thing You Know,Jordan Davis,0.557,0.597,0.646,0.0,78.526,H,3
1vYXt7VSjH9JIM5oRRo7vA,Dance The Night,Dua Lipa,0.671,0.845,0.0207,0.0,110.056,H,0
0bILU0UiNDmA5Ff6whhb2R,Religiously,Bailey Zimmerman,0.57,0.67,0.426,0.0,140.924,H,1
2Hc1LaV6bzFil3dE71eORA,Aye,Lil Uzi Vert Featuring Travis Scott,0.777,0.604,0.000713,5.64e-05,111.998,H,0
6pD0ufEQq0xdHSsRbg9LBK,Un x100to,Grupo Frontera X Bad Bunny,0.569,0.724,0.228,0.0,83.118,H,7
3Qu3Zh4WTKhP9GEXo0aDnb,Thought You Should Know,Morgan Wallen,0.53,0.678,0.506,6.23e-06,140.05,H,1
07bsRv0pcpbG4zJeLsUs1p,Eyes Closed,Ed Sheeran,0.777,0.526,0.302,0.0,107.071,H,0
741UUVE2kuITl0c6zuqqbO,Barbie World,Nicki Minaj & Ice Spice With Aqua,0.77,0.58,0.519,0.000127,144.072,H,1
2KtGiBi5CrX2ERPD2PAS34,Dancin' In The Country,Tyler Hubbard,0.657,0.871,0.0031,0.0,114.974,H,1
7aRCf5cLOFN1U7kvtChY1G,Search & Rescue,Drake,0.817,0.44,0.0603,1.42e-06,142.024,H,1
7ro0hRteUMfnOioTFI5TG1,Where She Goes,Bad Bunny,0.652,0.8,0.143,0.629,143.978,H,4
5w40ZYhbBMAlHYNDaVJIUu,Chemical,Post Malone,0.498,0.897,0.00136,0.0,169.902,H,10
6c6WmIHcHlhccEwSFBhzNa,Put It On Da Floor Again,Latto Featuring Cardi B,0.849,0.614,0.0282,0.0,111.363,H,0
1UMm1Qs3u59Wvk53zBUE8r,Sabor Fresa,Fuerza Regida,0.785,0.863,0.0883,0.0,130.132,H,1
7bPp2NmpmyhLJ7zWazAXMu,Tulum,Peso Pluma & Grupo Frontera,0.557,0.866,0.394,0.0,167.767,H,10
6AQbmUe0Qwf5PZnt4HmTXv,"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice,0.696,0.809,0.252,0.000128,132.962,H,1
2mltIbKkhQqyh8gCzaqxqA,Bury Me In Georgia,Kane Brown,0.391,0.816,0.0169,0.0,160.001,H,10
7sliFe6W30tPBPh6dvZsIH,Area Codes,Kaliii,0.823,0.388,0.0187,0.0,154.569,H,1
3qXsX3mYSsD1DmAvc3PE3N,Love You Anyway,Luke Combs,0.532,0.489,0.149,0.0,139.807,H,1
7mXuWTczZNxG5EDcjFEuJR,Lady Gaga,"Peso Pluma, Gabito Ballesteros & Junior H",0.646,0.736,0.216,0.0,140.098,H,1
3lcfs9Qjfxzy00VSVkixDv,I Gotta,Lil Uzi Vert,0.818,0.51,0.209,0.0,129.057,H,1
5Q0Nhxo0l2bP3pNjpGJwV1,Party In The U.S.A.,Miley Cyrus,0.652,0.698,0.00112,0.000115,96.021,H,0
1pDbGAAH5GQ8U0KG4fI77H,Spin Again,Lil Uzi Vert,0.619,0.606,0.0268,0.0,140.023,H,1
11pn4LFXCIXyprWQk8RSlM,Crush Em,Lil Uzi Vert,0.613,0.797,0.0185,0.0,145.011,H,1
3a36nM6fPVA8K1vqq6d03o,X2,Lil Uzi Vert,0.64,0.891,0.00467,0.0,148.054,H,1
368eeEO3Y2uZUQ6S5oIjcu,TQM,Fuerza Regida,0.786,0.853,0.273,0.0,125.107,H,1
0ZxhtATQ0a6EvQNZ0z6NKV,Princess Diana,Ice Spice & Nicki Minaj,0.898,0.676,0.14,0.0,147.991,H,1
7qLr3HMApUbyDkUvgIvHnB,Oh U Went,Young Thug Featuring Drake,0.808,0.789,0.0517,0.0,136.01,H,1
4eMKD8MRroxCqugpsxCCNb,Mojabi Ghost,Tainy & Bad Bunny,0.805,0.707,0.142,3.71e-05,122.014,H,1
1fXnu2HzxbDtoyvFPWG3Bw,Stand By Me,Lil Durk Featuring Morgan Wallen,0.756,0.582,0.0592,0.0,134.07,H,1
3RA55zrRkyPK8Fd86hrMy8,Luna,Peso Pluma & Junior H,0.747,0.629,0.328,0.00409,127.819,H,1
0WCJSIy75ZVxqY51ce0enc,Pluto To Mars,Lil Uzi Vert,0.807,0.627,0.0225,0.0,122.963,H,1
6n2P81rPk2RTzwnNNgFOdb,Bye,Peso Pluma,0.782,0.812,0.567,0.00045,122.063,H,1
5AqiaZwhmC6dIbgWrD5SzV,"Bzrp Music Sessions, Vol. 55",Bizarrap & Peso Pluma,0.854,0.668,0.264,5.61e-05,132.966,H,1
1KUZ33cOqk3X4Ezk0aZnVp,Peaches & Eggplants,Young Nudy Featuring 21 Savage,0.911,0.536,0.00897,3.73e-06,146.014,H,1
7ETjhPaIU4UmHOiimJBZz9,Your Heart Or Mine,Jon Pardi,0.639,0.713,0.0539,0.0,86.1,H,0
5V5Xpbmqi2rp1xSJWZTvYu,"Mama, I'm Sorry",Lil Uzi Vert,0.783,0.594,0.774,0.0,128.177,H,3
2ydwqnjPOcM24MV0kLThwi,Amped,Lil Uzi Vert,0.534,0.699,0.00038,8.21e-06,147.169,H,10
2BLlpdGCv0IErmH3OBGHYJ,"You, Me, & Whiskey",Justin Moore & Priscilla Block,0.555,0.88,0.0803,0.0,144.076,H,1
1odExI7RdWc4BT515LTAwj,Daylight,David Kushner,0.508,0.43,0.83,0.000441,130.09,H,3
05grSYrVwYw58YMOdJceyz,Patience,Lil Uzi Vert Featuring Don Toliver,0.706,0.64,0.086,0.0,143.905,H,1
2lophWrG2xqv9CSgSPca5k,Nakamura,Lil Uzi Vert,0.52,0.876,0.0414,0.0,160.008,H,10
3BKD1PwArikchz2Zrlp1qi,Baby Don't Hurt Me,"David Guetta, Anne-Marie & Coi Leray",0.602,0.91,0.00126,0.000174,127.944,H,1
0DWdj2oZMBFSzRsi2Cvfzf,TQG,Karol G x Shakira,0.72,0.63,0.673,0.0,179.974,H,1
6WzRpISELf3YglGAh7TXcG,Popular,"The Weeknd, Playboi Carti & Madonna",0.855,0.678,0.0569,3.69e-05,99.029,H,0
0gWrMbx6pbdH3n3nsLjE55,Mourning,Post Malone,0.596,0.651,0.0971,0.0,73.959,H,0
6kHYpEnDpMCyGu0E2PlWY1,All Alone,Lil Uzi Vert,0.752,0.693,0.0954,0.0,138.104,H,1
0xGZjxYqcNQ8WqxyeZ4eSN,Rubicon,Peso Pluma,0.758,0.816,0.136,3.64e-06,139.959,H,1
6kQF79mjbOkvuRvg0J2XZv,Died And Came Back,Lil Uzi Vert,0.674,0.669,0.149,0.0,132.098,H,1
2VzCjpKvPB1l1tqLndtAQa,Por Las Noches,Peso Pluma,0.807,0.595,0.31,2.44e-05,92.491,H,0
11xC6P3iKYpFThT6Ce1KdG,Attention,Doja Cat,0.759,0.567,0.118,0.0278,87.981,H,0
3ySqZ8yGoh4Emi9HiPCCdP,Werewolf,Lil Uzi Vert Featuring Bring Me The Horizon,0.389,0.962,5.98e-05,0.623,183.049,H,5
1haJsMtoBhHfvuM7XWuT3W,El Azul,Junior H x Peso Pluma,0.558,0.648,0.226,7.76e-06,143.876,H,1
03fs6oV5JAlbytRYf3371S,Everything I Love,Morgan Wallen,0.568,0.841,0.00514,0.000503,103.983,H,7
7fveJ3pk1eSfxBdVkzdXZ0,Cowgirls,Morgan Wallen Featuring ERNEST,0.624,0.766,0.199,8.62e-06,172.08,H,1
5iE3eUH2WGCXcE2xr6DEmU,Waffle House,Jonas Brothers,0.729,0.763,0.033,1e-06,126.002,H,1
6KaKmX6EIu3x2057HoZwQF,Watermelon Moonshine,Lainey Wilson,0.739,0.413,0.47,2.51e-05,139.921,H,1
5rurggqwwudn9clMdcchxT,Calling,"Metro Boomin, Swae Lee & NAV Featuring A Boogie Wit da Hoodie",0.631,0.535,0.464,0.0,140.127,H,1
4JdSXF2p71cr8uCY3UiJM0,Fragil,Yahritza y Su Esencia x Grupo Frontera,0.605,0.726,0.365,0.0,149.918,H,1
7KA4W4McWYRpgf0fWsJZWB,See You Again,"Tyler, The Creator Featuring Kali Uchis",0.558,0.559,0.371,7.49e-06,78.558,H,0
103u49mLoJUge83B1CnLxI,Truck Bed,HARDY,0.662,0.77,0.0875,0.0,132.057,H,1
3VFGA65JnN8EDmnRb5SHW2,Zoom,Lil Uzi Vert,0.818,0.547,0.0784,1.3e-06,79.483,H,0
1bIHv5s0rByq6ZOqDSt8K8,That Fiya,Lil Uzi Vert,0.565,0.712,0.00234,0.0,138.124,H,1
60glT2wsoSHV3B8yCRSB8v,We Didn't Start The Fire,Fall Out Boy,0.567,0.961,0.00139,3.7e-05,151.92,H,10
7l6nGz4gp6HGs5Cvmdeqe4,Fight The Feeling,Rod Wave,0.634,0.538,0.0514,0.0,168.029,H,1
2YVlDlk2zRceefo6XlC6DX,Ain't That Some,Morgan Wallen,0.641,0.803,0.00232,3.86e-06,121.086,H,1
3HOKxuTDmNVmIlCIpBiD8m,Lagunas,Peso Pluma & Jasiel Nunez,0.77,0.622,0.328,0.00603,115.952,H,0
0caJ2wkqp4UmXBwdR2JvB5,Dial Drunk,Noah Kahan,0.693,0.595,0.0969,0.0,112.02,H,0
4Bee3PcNdfeqO1B80dDgFn,Save Me,Jelly Roll With Lainey Wilson,0.564,0.612,0.382,0.0,83.03,H,0
3AAY8YicetRPlDAkibHLiS,Jaded,Miley Cyrus,0.496,0.593,0.0476,0.0,91.038,H,7
5LkGGy7JvhnDZWEk7xuqP4,Bihotz urdin,Gari,0.495,0.469,0.768,0.0,145.873,N,8
4oYoZUGOMIOjxefJ0VLuHQ,Race to Space,DoG,0.3829999999999999,0.45,0.39,0.368,156.238,N,8
3T7PUoQjtSD5KO2MIwoMrk,Local Mix-Up / Murder Charge,Guided By Voices,0.2319999999999999,0.4589999999999999,0.392,0.0615,75.16,N,6
7IDr1U2i7qqai1FsZEdlwf,Stars Fell in Alabama - Live,Kenny Barron and  Mulgrew Miller,0.484,0.335,0.993,0.914,121.487,N,2
5pzJv7wxk9DcV4qRmoiTqR,The House I Live In,Frank Sinatra,0.241,0.131,0.964,0.0063799999999999,178.61700000000005,N,8
0R6yXCAtBjTWuqcN20KpTa,Madrid,Vivek Shraya,0.326,0.515,0.643,0.0,153.69,N,8
4jlxVWB0pNFNYMbOsUlnCF,The Society of Lost Androids,Imminent and  Synapscape,0.58,0.925,0.000239,0.825,150.054,N,5
29QYpSaPR7gEtsA4rFgtFU,Jinekua Tsitsikiri K'uinchitskua,Los Chapas De Comachuen and  Ban. Juvenil E.,0.599,0.509,0.78,0.826,95.215,N,2
3nyO5DbivWiLHsDbgM9Xm2,Cradle of Dawn,Libby Roderick,0.415,0.0953,0.885,0.0,102.738,N,6
6DtOUwf3lhFfDAjVcnSAVy,"Oh, What a Beautiful City (Arr. J. Clark for 2 Voices & Orchestra)",Traditional and  Nicole Cabell and  Alyson Cambridge and  Lake Forest Symphony and  Vladimir Kulenovic,0.5329999999999999,0.188,0.982,0.00887,72.475,N,6
3UzwSzu9EmpobpDoh9CTyC,"String Quartet No. 10 in B-Flat Major, Op. 2, No. 6, Hob.III:12: III. Scherzo: Presto",Franz Joseph Haydn and  Kodály Quartet,0.58,0.244,0.986,0.879,154.467,N,9
1bi25bGbVz2CvqFUbszobH,Rast Saz Semai,Kemani Tatyos Efendi,0.305,0.484,0.679,0.893,151.88299999999995,N,9
20t0heLtabBjAaTL1RsRiM,Driftin Snow,Blackie And Rodeo Kings,0.419,0.425,0.821,2.07e-06,85.23899999999998,N,6
6xRqUeqZQtM0z6ijy4KJoZ,Missa Christus resurgens: Credo from Missa Christus resurgens,Adrian Willaert and  Oxford Camerata and  Jeremy Summerly,0.109,0.0851,0.992,0.000618,83.3,N,6
7iXf3CBjO7GxF322grOHRE,Whoami?,D.V.S* and  Chantel,0.511,0.613,0.121,0.249,87.96,N,7
0CPtyZyTflasu8YHvdo9HT,Banks of the Moorlough Shore,Ben Winship & David Thompson,0.625,0.353,0.903,0.00724,106.084,N,3
3P67h5EYj7fx0X34FGqQkV,Please Don't Lie To Me,The Fabulous Thunderbirds,0.613,0.7959999999999999,0.476,4.96e-06,147.58,N,1
2lpGn6og8Cb7yWZJQFVUe6,My Golden Bull,Rita Hosking,0.425,0.434,0.5489999999999999,0.000699,184.115,N,8
7MefejukmhhOm6TaWSCceD,How Many Times,Common Children,0.216,0.5760000000000001,0.133,0.2339999999999999,132.41,N,10
4lvUr0l57wRIqPU4z3j7xb,ああ、無情,PASSEPIED,0.434,0.904,0.0151,0.524,165.082,N,5
7DDmbE0nZQ7f3SkhkkGrSw,If You Were My Love,Stevie Nicks,0.49,0.3389999999999999,0.614,0.0,95.983,N,3
0idchDswVvGHWj8Z8nTvpa,Killjoy,Matt Keating,0.4379999999999999,0.768,0.0592,1.6800000000000002e-05,118.73,N,7
3BIh04SlOYjXbiN7M14jPm,First in Line,Vintage Crop,0.3989999999999999,0.877,0.0575,0.0728,161.83100000000005,N,10
4UzU3ODAflrbK6hKFALVcc,The First Time,Instant Winner,0.612,0.654,0.000838,0.428,114.962,N,4
5varUlpJpAKeUMIdlAoC2T,Inesperado Adios,Melaza,0.414,0.351,0.785,0.0166,80.809,N,6
3ivL0exdckGCalkiBy4hhe,Take a Trip,Cdot Honcho,0.8590000000000001,0.5660000000000001,0.000132,0.0,149.95,N,1
4fJ658uoJeDMCRZRijMQbZ,"Deep in My Heart, Dear (From ""The Student Prince"") - 1989 Remastered",Sigmund Romberg and  Mario Lanza and  Constantine Callinicos,0.249,0.122,0.904,0.0,117.49,N,6
7yhmTocyA4Cblxo45L2xsU,"Piano Concerto in A Minor, Op. 54: III. Allegro vivace",Robert Schumann and  Arthur Rubinstein and  Josef Krips,0.371,0.132,0.989,0.8170000000000001,124.598,N,9
0tpaiL6sNZyWn2xlRS7zKh,What Our Soul Is Looking for,Milestone,0.57,0.25,0.889,0.000893,86.98700000000002,N,3
6CXa131hDebDAmrwNSzR3i,How to Act,D.R.I.,0.384,0.8370000000000001,0.0353,0.772,116.375,N,12
2tfU2r6ZRQ5i8H4grDGdGG,Moth In Mouth,Andrew Thomas,0.0754,0.0163,0.4,0.898,82.02,N,11
6fvhOkYP6oVSDpoUKPFZFS,Don't Do It,Aperture Science Psychoacoustic Laboratories,0.3779999999999999,0.675,0.312,0.8270000000000001,160.054,N,5
4vFLVnG6oHhXLoiH2DGbIL,Nunca Te Olvidaré,Banda Santa Cecilia,0.774,0.511,0.148,0.0,110.064,N,0
4ly95ZMlLIlzJbs0kbsEPn,Good to Go,Sterling Koch,0.617,0.4639999999999999,0.0398,0.2239999999999999,114.96,N,0
1Fs13iB2W9bmgskOnUQ3dM,Le Juge Et L'assassin,Offenbach,0.5820000000000001,0.931,0.0677,0.000264,133.111,N,1
19r53ruwKkRG9pcf47NVGy,Final Stretch,Bright Channel,0.344,0.853,0.000267,0.561,99.25,N,12
3ZNxwFtRj0vRXCFLQ3XMQp,lewis hamilton,kwes e,0.6459999999999999,0.4920000000000001,0.181,1.88e-06,160.907,N,1
4EfA1D7Rcfrfq8za7MOfx6,"Fireside Reel, The (8x32 R) - Medley Of Reels",Scottish Weekend Ensemble,0.609,0.3279999999999999,0.619,0.0085799999999999,112.196,N,3
3sCGxllMBqPOYWiA8TaanQ,Frozen (Chill Mix),Collide,0.6940000000000001,0.478,0.00863,0.816,92.116,N,4
2RcRgWkt8Y28IoUUz1hbOy,Sundaze,Maazel and  Danni Carra,0.5670000000000001,0.6920000000000001,0.402,1.47e-06,90.988,N,0
1jDQOEANrMbdyB4oZRVtak,Minority,Apa,0.298,0.932,0.0052,1.51e-05,117.693,N,7
1y4J9rCQLentwPJJ3Q5mR0,Nuevas Sensaciones,Los Planetas,0.3429999999999999,0.938,0.00739,0.0564,164.15400000000002,N,10
1wTx8XqC5HnsppDY3sWWaE,Drunk All the Time (feat. Simon Lord),Dillon Francis and  Simon Lord,0.591,0.9,0.0136,2.07e-06,127.931,N,1
6pgL8rQJ30jSObgSaoWV08,"For Those About to Fight for Metal - (Live At Wacken, 2018)",Ensiferum,0.465,0.975,0.000144,0.166,97.494,N,7
3MvQ9FGeIXws8OPVGrqawQ,Ragtime,Marc-Andre Pepin,0.54,0.2739999999999999,0.946,0.925,116.851,N,2
0QhCxyQh8x387BqFnsFrDH,Gesprekken Van Eb En Vloed,Claudia De Breij,0.366,0.529,0.7020000000000001,0.0,76.168,N,6
6XVYkXsbgIuciROMPR3m7u,Winter Poem,Peter Mulvey,0.7659999999999999,0.182,0.0231,0.0,90.508,N,0
1gmlgYBwzRLfJibOQSWpoo,Working for the Weekend - Remastered,Loverboy,0.528,0.909,0.0134,0.000571,147.286,N,10
6zyWZR5u37mYqZJDf4d3ZI,Eyes of the Veiled Temptress,Chuck Mangione,0.595,0.4579999999999999,0.47,0.00679,101.026,N,3
6jTQkQWdcd4igf3rpoo4Co,callar - demo,Vanessa Zamora,0.266,0.299,0.7759999999999999,4.79e-05,140.112,N,8
1BXz55QFlglvPv6zMo0ZEk,Shrooms,San Holo,0.578,0.83,0.000637,0.428,167.957,N,5
1ge4DwOSAg0Qh8MdM4HsKe,California Mountain,Chris Colepaugh and the Cosmic Crew,0.522,0.691,0.00385,2.34e-05,74.02199999999998,N,7
74n22eCJl862ioUV5livNv,El Rey,Banda La Auténtica del Compa Jacinto,0.3989999999999999,0.669,0.2189999999999999,0.0,199.98,N,10
6zUWvaNl4QyVxRD2iE0JKz,Love Will Come To You,The Goods,0.407,0.879,0.000641,0.0301,109.436,N,7
1lzMkGUlTgyMUbrp1j9A3N,Inspiration,Charles Mingus,0.248,0.2189999999999999,0.979,0.905,76.779,N,11
1XxxjNv5BAfyjlwN0iHSuz,Wonder,Colin Meloy,0.547,0.352,0.784,0.0,115.965,N,3
1EQ273pp1YeItU131MWUMA,Runaway Boys,Rezurex,0.5720000000000001,0.8959999999999999,0.00471,6.05e-05,95.684,N,7
2YeWp5BWNFePTUewsuiS2j,Entre Estas Cuatro Paredes,Palmenia Pizarro,0.795,0.452,0.845,1.15e-06,112.94,N,3
5SNl0P83nBmRAYHuk7AdMP,National 6x5,The Peach Truck Republic,0.452,0.461,0.925,0.87,99.858,N,2
35MXoaC30ynzLZHXA49A28,Level Up (Twice As Tall) [feat. Youssou N'Dour],"Burna Boy and  ""Youssou NDour""",0.531,0.3279999999999999,0.544,0.0,92.022,N,3
6yKSVv8fC5Cjt3zxDkLcs6,This Christmas (feat. Alyssa Bonagura),Nelson,0.5820000000000001,0.718,0.147,0.0,122.993,N,1
0CU6uS2k8y0XquMVQdwmAQ,Wig Out,Pete Rock & C.L. Smooth,0.7659999999999999,0.728,0.623,0.000715,104.741,N,0
13WRmo5gZ87AejWZlSwWpl,Never Stop,Taylor Davis,0.6409999999999999,0.562,0.278,1.11e-06,115.982,N,0
1JyNUSXgeErV1ccj7Z8piw,All or Nothing - Danny Tenaglia International Mix,Cher and  Danny Tenaglia,0.65,0.912,0.0204,0.0107,129.849,N,1
2zKeg6Xj5eur6fPvdXycKc,Little Me - DE$iGNATED Radio Remix,Little Mix and  DE$IGNATED,0.599,0.959,0.0509,5.45e-05,138.019,N,1
3LP8GcN8FpiExEvTscsu2o,Mimoun Saadiyamou,Joachim Kühn and  Majid Bekkas and  Ramon Lopez,0.336,0.5529999999999999,0.547,0.00665,179.685,N,8
6RMxYfObYoSOoLw77g6s15,"6 Lieder, Op. 50: No. 5. Liebe und Wein",Felix Mendelssohn and  Die Singphoniker,0.411,0.0625,0.971,0.0,114.255,N,6
20pZLVX70ZqZd4gJw1gQO8,Comme femme,Alexander Agricola and  Ciaramella,0.415,0.022,0.993,0.903,74.145,N,11
091AqYMCoxTHmiSRji1LQO,Love In Return,Mike Ringler,0.611,0.262,0.0362,0.0,80.563,N,0
4HmQBjB9UuwswD2D0xCH0S,Because (Arr. for Chamber Ensemble),Les Boreades de Montreal,0.182,0.114,0.919,0.816,171.35,N,9
0KArwtnqYEvfhJI27FibQb,Static - Flux (Happy Piano Mix),Static,0.541,0.635,0.0714,0.7240000000000001,84.979,N,12
6mktP2NY2wdc95kLPx11pA,Dance with me,"""DERLANGER""",0.304,0.98,0.0157,3.54e-05,145.398,N,10
5tkQVl8PAZUgMOE6On8gPs,Sacred Vowels,Steven Halpern,0.0887,0.018,0.725,0.0861,70.631,N,6
5BcAy9JZUxybreuFWvWTcM,Electric Sky,Milla,0.626,0.7909999999999999,0.17,0.08,119.903,N,1
4cLMOSf0xQTSRhorzTGarv,Entertaining Angels,Common Children,0.361,0.8,0.000132,0.0376,103.532,N,7
5nS4kG9u7CCLCUOOZe38AM,Words So Leisured,Franz Ferdinand,0.425,0.23,0.86,0.0291,126.643,N,8
0gIkq8U60KLARZJ5oIKbrU,In a Lonely Place,Coph Nia,0.652,0.258,0.0922,0.8,127.012,N,4
5a2RAWequwBh6SpNQ3YUdD,"24 Preludes, Op. 34a (Arr. D.M. Tsiganov for Violin & Piano): No. 15 in D-Flat Major",Dmitri Shostakovich and  Dmitri Mikhailovich Tsiganov and  Eleonora Turovsky and  Peter Pettinger,0.585,0.256,0.961,0.72,120.855,N,2
2fc5AQAhFzQJut54nt74YQ,We Are in This Together,Dylan Sires and Neighbors,0.7090000000000001,0.512,0.214,0.0,113.835,N,0
3JybLVUtFob16XA32dnz3x,A Trucker's Bride,Arigon Starr,0.659,0.635,0.225,3.02e-06,107.568,N,0
1z8uV9TER0NZQHmywRB5Vn,Good-bye days 〜YUI Acoustic Version〜,YUI,0.628,0.28,0.725,0.0,78.944,N,3
43biMaZzuDUTumPaLSR1xO,Nice Guy,Katie Thompson,0.7440000000000001,0.5670000000000001,0.452,0.0,124.849,N,1
5oGgDDAWryI74Q72suY5r7,Tracie Grace,Garrett Williamson,0.261,0.337,0.986,0.939,110.273,N,11
6glYSMTFAsBdwCLlu3rEf8,The Song Is You,Anthony Braxton,0.615,0.1989999999999999,0.8390000000000001,0.918,104.963,N,2
2cqmmcnNuPAMQrrWrBpR4P,The Well-Tampered Accordion: I. Shape-Shifter,Guy Klucevsek,0.268,0.00715,0.954,0.7659999999999999,102.506,N,11
07Zqor17vzjcn0O0IUGuko,Speaking for the Man,James Maddock,0.4579999999999999,0.743,0.000341,0.00147,93.059,N,7
6c7xjj1OPAXeFIH8t86jba,If Blues Were Whiskey - Live,"Luther ""Guitar Jr"" Johnson",0.418,0.787,0.531,1.11e-05,187.397,N,10
0MhbgaXAFgOLfO8QOBeZCL,3262,Evaro,0.526,0.603,0.00828,0.0169,140.864,N,1
5b2b60Vc4nXL6IgYe3R1UT,"Shepherds, Watching",Judy Hunnicutt and  Gloriae Dei Ringers and  Richard Pugsley,0.181,0.00322,0.777,7.13e-06,135.826,N,8
6x90K9K1vrSKHlU1loKY55,We Trippy Mane,Lil Wyte,0.57,0.768,0.000181,2.39e-06,166.85,N,10
4V2Sun0FvHrDXoMTC8IKVH,Slow Burn,Trashbat,0.8009999999999999,0.498,0.195,0.918,120.009,N,4
6US8crhJ4bXRjDw20smebW,"Critter Tripper Fritter!?: Piano Collections Version (From ""Final Fantasy V"") [For Piano Solo]",daigoro789,0.55,0.0407,0.984,0.94,177.976,N,9
0ivqg3EEIjyanYkmmoLkkM,No Apologies,Jah Bami,0.8029999999999999,0.491,0.0319,1.49e-06,146.039,N,1
0ISvJzic4mqtcNFfNqIyXh,Epitaph,Pop Evil,0.336,0.972,2.01e-05,0.000195,189.962,N,10
6Qva2edS4DtBhGqZ7thmxb,Door Number Two,Walter Becker,0.91,0.302,0.3429999999999999,0.131,109.697,N,0
2PVCCiLGsboQirkTxgoM4R,Maybe I,Five For Fighting,0.489,0.682,0.11,0.0,151.859,N,10
7CiEbOZVAg3r57iiU2lkIk,Green Valley,"""The Devils Interval""",0.604,0.0833,0.967,0.0,76.507,N,3
232nrAG28Z02etpPj9v10v,Lunae,Emilee Hartley,0.406,0.0773,0.966,0.929,123.665,N,9
6UV7Yq3v9msvpxjNa30hV9,Laylow,The Darkness,0.537,0.4970000000000001,0.525,0.0,82.54899999999998,N,3
1OBKTFcn8QGPRWtI58DV2z,Agnus,Dj Real,0.664,0.7509999999999999,0.408,0.000247,79.982,N,0
